"Scenario","year","lb","md","ub"
"+4g in 2025",2025,0.768813542745216,0.833733427447806,0.892199009088139
"+4g in 2025",2026,0.821217916692168,0.905255223811387,0.966575911957861
"+4g in 2025",2027,0.798211303837166,0.893160983216157,0.961748217911622
"+4g in 2025",2028,0.766401628114509,0.882041384763031,0.956480647364272
"+4g in 2025",2029,0.701752670885187,0.867573262119545,0.949500725585486
"+4g in 2025",2030,0.619394742478152,0.84464305779086,0.940479086464737
"+4g in 2025",2031,0.544680998122323,0.815566166693863,0.931686877368119
"+4g in 2025",2032,0.488560308420734,0.780353379370192,0.921668784718695
"+4g in 2025",2033,0.450300755232428,0.732844335178883,0.905284824826311
"+4g in 2025",2034,0.419639003045557,0.677900279314422,0.887798646535227
"+4g in 2025",2035,0.398389422911842,0.620748125406564,0.86849901573812
"+4g in 2025",2036,0.379814436442035,0.571048406751643,0.841165239983828
"+4g in 2025",2037,0.364469700048724,0.523982831303919,0.812074928449117
"+4g in 2025",2038,0.352303414234919,0.486240075718208,0.77493550513362
"+4g in 2025",2039,0.34458013492425,0.45565456551882,0.732318522490923
"+4g in 2025",2040,0.333286613628644,0.431441814408731,0.68916834763476
"+4g in 2025",2041,0.328542615927453,0.413618679335589,0.652326420033208
"+4g in 2025",2042,0.32266434582947,0.401137862033712,0.606262382313027
"+4g in 2025",2043,0.318580284481455,0.389511502314017,0.568586860249534
"+4g in 2025",2044,0.312547982415438,0.381940025038804,0.528745052731209
"+4g in 2025",2045,0.30809780281358,0.375758286776174,0.496344089290119
"+4g in 2025",2046,0.304862854239018,0.370829289790444,0.47529278167887
"+4g in 2025",2047,0.302654566572739,0.366774167512552,0.457493074690674
"+4g in 2025",2048,0.299894284670455,0.362650545837914,0.448763129042987
"+4g in 2025",2049,0.299867128416886,0.360166984899086,0.436240804379607
"+4g in 2025",2050,0.295742400692814,0.357450439948834,0.431775990226687
"+4g in 2025",2051,0.2949870317853,0.355824016717598,0.423455623058337
"+4g in 2025",2052,0.293225729164265,0.354502116053897,0.415724402744374
"+4g in 2025",2053,0.291810468623205,0.352873282071926,0.414079813164822
"+4g in 2025",2054,0.291234920998848,0.351738977485792,0.409798910499007
"+4g in 2025",2055,0.290200485960959,0.35077192826078,0.40857361149085
"+4g in 2025",2056,0.287839298861449,0.350303142575763,0.404657211359983
"+4g in 2025",2057,0.287397285137295,0.349259128858933,0.407277719141978
"+4g in 2025",2058,0.284248605928338,0.348606243507785,0.403612313392996
"+4g in 2025",2059,0.285977445761616,0.348368878529224,0.402490502286904
"+4g in 2025",2060,0.281522744718327,0.347898608599922,0.401608229974671
"-4g in 2025",2025,0.768813542745216,0.833733427447806,0.892199009088139
"-4g in 2025",2026,0.693772448087653,0.761720895050679,0.832625661786392
"-4g in 2025",2027,0.685687446337425,0.756385161112836,0.826428117140364
"-4g in 2025",2028,0.669775791475264,0.74985391293425,0.823665109795621
"-4g in 2025",2029,0.646587691573539,0.741309682957441,0.819204565877629
"-4g in 2025",2030,0.605752162348449,0.730686704717282,0.814675248570404
"-4g in 2025",2031,0.552895792382268,0.718274978062933,0.810381902202965
"-4g in 2025",2032,0.505891274466575,0.703547679179614,0.807214351044181
"-4g in 2025",2033,0.473787945656997,0.682739720912017,0.79917953650915
"-4g in 2025",2034,0.440901109775537,0.658702427300165,0.790617842335464
"-4g in 2025",2035,0.417931022867021,0.630617210216622,0.78018061193608
"-4g in 2025",2036,0.397073074805212,0.597054575608485,0.76660924956523
"-4g in 2025",2037,0.381982254942218,0.563615891381845,0.752474858098885
"-4g in 2025",2038,0.368347136610689,0.531606871897634,0.734002714646542
"-4g in 2025",2039,0.358118599334755,0.502836827473916,0.717337092021272
"-4g in 2025",2040,0.348648149787039,0.474387095015317,0.699500810756122
"-4g in 2025",2041,0.340082553333483,0.4519760844009,0.677385435015855
"-4g in 2025",2042,0.336369516757593,0.432489440974565,0.652648284227493
"-4g in 2025",2043,0.329609308463201,0.416646880633796,0.626342540104287
"-4g in 2025",2044,0.325453257463724,0.404810795565182,0.593094753653594
"-4g in 2025",2045,0.31901483848649,0.393868682354847,0.568347991036349
"-4g in 2025",2046,0.314026683935386,0.385472547682803,0.538323988547598
"-4g in 2025",2047,0.309299866670308,0.379147204082334,0.514777372259424
"-4g in 2025",2048,0.307475858216238,0.374813703911593,0.487868414022374
"-4g in 2025",2049,0.303043577956391,0.369559250737813,0.470018570634424
"-4g in 2025",2050,0.303059949253206,0.366764517570619,0.458726419153354
"-4g in 2025",2051,0.299013627808256,0.363484128710583,0.4455871669606
"-4g in 2025",2052,0.298453074758553,0.361018688144061,0.437066959031913
"-4g in 2025",2053,0.296017660072791,0.357866045003638,0.430694528919667
"-4g in 2025",2054,0.294720531322545,0.355917542203358,0.425437490469748
"-4g in 2025",2055,0.293397600219133,0.355174344632078,0.418964165319077
"-4g in 2025",2056,0.294419927518571,0.353445637960431,0.415513151060356
"-4g in 2025",2057,0.290943250370499,0.352643036001643,0.411767681070762
"-4g in 2025",2058,0.28945998771778,0.35171738143973,0.409870203783838
"-4g in 2025",2059,0.288551386904098,0.350873039058392,0.406958973945005
"-4g in 2025",2060,0.287418186061403,0.349365735927648,0.404672375732622
