"","Scenario","Hunting_bias","Herring_quality","year","lb","md","ub","group"
"126","4800","Pup","+4g in 2025",2025,51055.75,57614.5,65776.05,"4800 Pup +4g in 2025"
"127","0","Adult","+4g in 2025",2025,51055.75,57614.5,65776.05,"0 Adult +4g in 2025"
"128","1311","Adult","+4g in 2025",2025,51055.75,57614.5,65776.05,"1311 Adult +4g in 2025"
"129","2400","Adult","+4g in 2025",2025,51055.75,57614.5,65776.05,"2400 Adult +4g in 2025"
"130","3050","Adult","+4g in 2025",2025,51055.75,57614.5,65776.05,"3050 Adult +4g in 2025"
"131","3600","Adult","+4g in 2025",2025,51055.75,57614.5,65776.05,"3600 Adult +4g in 2025"
"132","4800","Adult","+4g in 2025",2025,51055.75,57614.5,65776.05,"4800 Adult +4g in 2025"
"133","0","Male","+4g in 2025",2025,51055.75,57614.5,65776.05,"0 Male +4g in 2025"
"134","1311","Male","+4g in 2025",2025,51055.75,57614.5,65776.05,"1311 Male +4g in 2025"
"135","2400","Male","+4g in 2025",2025,51055.75,57614.5,65776.05,"2400 Male +4g in 2025"
"136","3050","Male","+4g in 2025",2025,51055.75,57614.5,65776.05,"3050 Male +4g in 2025"
"137","3600","Male","+4g in 2025",2025,51055.75,57614.5,65776.05,"3600 Male +4g in 2025"
"138","4800","Male","+4g in 2025",2025,51055.75,57614.5,65776.05,"4800 Male +4g in 2025"
"139","0","Female","+4g in 2025",2025,51055.75,57614.5,65776.05,"0 Female +4g in 2025"
"140","1311","Female","+4g in 2025",2025,51055.75,57614.5,65776.05,"1311 Female +4g in 2025"
"141","2400","Female","+4g in 2025",2025,51055.75,57614.5,65776.05,"2400 Female +4g in 2025"
"142","3050","Female","+4g in 2025",2025,51055.75,57614.5,65776.05,"3050 Female +4g in 2025"
"143","3600","Female","+4g in 2025",2025,51055.75,57614.5,65776.05,"3600 Female +4g in 2025"
"144","4800","Female","+4g in 2025",2025,51055.75,57614.5,65776.05,"4800 Female +4g in 2025"
"145","0","Historical","-4g in 2025",2025,51055.75,57614.5,65776.05,"0 Historical -4g in 2025"
"146","1311","Historical","-4g in 2025",2025,51055.75,57614.5,65776.05,"1311 Historical -4g in 2025"
"147","2400","Historical","-4g in 2025",2025,51055.75,57614.5,65776.05,"2400 Historical -4g in 2025"
"148","3050","Historical","-4g in 2025",2025,51055.75,57614.5,65776.05,"3050 Historical -4g in 2025"
"149","3600","Historical","-4g in 2025",2025,51055.75,57614.5,65776.05,"3600 Historical -4g in 2025"
"150","4800","Historical","-4g in 2025",2025,51055.75,57614.5,65776.05,"4800 Historical -4g in 2025"
"151","0","Pup","-4g in 2025",2025,51055.75,57614.5,65776.05,"0 Pup -4g in 2025"
"152","1311","Pup","-4g in 2025",2025,51055.75,57614.5,65776.05,"1311 Pup -4g in 2025"
"153","2400","Pup","-4g in 2025",2025,51055.75,57614.5,65776.05,"2400 Pup -4g in 2025"
"154","3050","Pup","-4g in 2025",2025,51055.75,57614.5,65776.05,"3050 Pup -4g in 2025"
"155","3600","Pup","-4g in 2025",2025,51055.75,57614.5,65776.05,"3600 Pup -4g in 2025"
"156","4800","Pup","-4g in 2025",2025,51055.75,57614.5,65776.05,"4800 Pup -4g in 2025"
"157","0","Adult","-4g in 2025",2025,51055.75,57614.5,65776.05,"0 Adult -4g in 2025"
"158","1311","Adult","-4g in 2025",2025,51055.75,57614.5,65776.05,"1311 Adult -4g in 2025"
"159","2400","Adult","-4g in 2025",2025,51055.75,57614.5,65776.05,"2400 Adult -4g in 2025"
"160","3050","Adult","-4g in 2025",2025,51055.75,57614.5,65776.05,"3050 Adult -4g in 2025"
"161","3600","Adult","-4g in 2025",2025,51055.75,57614.5,65776.05,"3600 Adult -4g in 2025"
"162","4800","Adult","-4g in 2025",2025,51055.75,57614.5,65776.05,"4800 Adult -4g in 2025"
"163","0","Male","-4g in 2025",2025,51055.75,57614.5,65776.05,"0 Male -4g in 2025"
"164","1311","Male","-4g in 2025",2025,51055.75,57614.5,65776.05,"1311 Male -4g in 2025"
"165","2400","Male","-4g in 2025",2025,51055.75,57614.5,65776.05,"2400 Male -4g in 2025"
"166","3050","Male","-4g in 2025",2025,51055.75,57614.5,65776.05,"3050 Male -4g in 2025"
"167","3600","Male","-4g in 2025",2025,51055.75,57614.5,65776.05,"3600 Male -4g in 2025"
"168","4800","Male","-4g in 2025",2025,51055.75,57614.5,65776.05,"4800 Male -4g in 2025"
"169","0","Female","-4g in 2025",2025,51055.75,57614.5,65776.05,"0 Female -4g in 2025"
"170","1311","Female","-4g in 2025",2025,51055.75,57614.5,65776.05,"1311 Female -4g in 2025"
"171","2400","Female","-4g in 2025",2025,51055.75,57614.5,65776.05,"2400 Female -4g in 2025"
"172","3050","Female","-4g in 2025",2025,51055.75,57614.5,65776.05,"3050 Female -4g in 2025"
"173","3600","Female","-4g in 2025",2025,51055.75,57614.5,65776.05,"3600 Female -4g in 2025"
"174","4800","Female","-4g in 2025",2025,51055.75,57614.5,65776.05,"4800 Female -4g in 2025"
"175","0","Historical","Mean of historical",2026,54418.35,61537,70324.025,"0 Historical Mean of historical"
"176","1311","Historical","Mean of historical",2026,53870.925,61040.5,69668.625,"1311 Historical Mean of historical"
"177","2400","Historical","Mean of historical",2026,51822.525,58954,67661.8,"2400 Historical Mean of historical"
"178","3050","Historical","Mean of historical",2026,51100.4,58272.5,66963.2,"3050 Historical Mean of historical"
"179","3600","Historical","Mean of historical",2026,50555.9,57661,66525.975,"3600 Historical Mean of historical"
"180","4800","Historical","Mean of historical",2026,49290.8,56381,65142.55,"4800 Historical Mean of historical"
"181","0","Pup","Mean of historical",2026,54365.95,61578.5,70305.775,"0 Pup Mean of historical"
"182","1311","Pup","Mean of historical",2026,53852.775,61044,69887.45,"1311 Pup Mean of historical"
"183","2400","Pup","Mean of historical",2026,51889.725,59040,67816.075,"2400 Pup Mean of historical"
"184","3050","Pup","Mean of historical",2026,51213.4,58365.5,67149.8,"3050 Pup Mean of historical"
"185","3600","Pup","Mean of historical",2026,50569.65,57795.5,66606.7,"3600 Pup Mean of historical"
"186","4800","Pup","Mean of historical",2026,49381.5,56507.5,65245.175,"4800 Pup Mean of historical"
"187","0","Adult","Mean of historical",2026,54520.05,61557,70296.375,"0 Adult Mean of historical"
"188","1311","Adult","Mean of historical",2026,53764.95,60954.5,69821.85,"1311 Adult Mean of historical"
"189","2400","Adult","Mean of historical",2026,51728.3,58875,67610.125,"2400 Adult Mean of historical"
"190","3050","Adult","Mean of historical",2026,50975.625,58161,66987.725,"3050 Adult Mean of historical"
"191","3600","Adult","Mean of historical",2026,50370.875,57552,66287.35,"3600 Adult Mean of historical"
